Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR100', num_workers=2, batch_size=64, num_sen=64, defense='dcs', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=500.0, lambda_y=0.7, project=True, startpoint='none', mixup=False, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device 10 	 Train loss 4.8033 	 LR 0.0099 	 Train images 1250 	 Round   1
Device 10 	 Train loss 4.4379 	 LR 0.0098 	 Train images 1250 	 Round   2
Device 10 	 Train loss 4.2092 	 LR 0.0097 	 Train images 1250 	 Round   3
Device 10 	 Train loss 4.0017 	 LR 0.0096 	 Train images 1250 	 Round   4
Device 10 	 Train loss 3.8035 	 LR 0.0095 	 Train images 1250 	 Round   5
Device 10 	 Train loss 3.6830 	 LR 0.0094 	 Train images 1250 	 Round   6
Device 10 	 Train loss 3.5244 	 LR 0.0093 	 Train images 1250 	 Round   7
Device 10 	 Train loss 3.3287 	 LR 0.0092 	 Train images 1250 	 Round   8
Device 10 	 Train loss 3.1849 	 LR 0.0091 	 Train images 1250 	 Round   9
Device 10 	 Train loss 3.0563 	 LR 0.0090 	 Train images 1250 	 Round  10
Device 10 	 Train loss 3.0191 	 LR 0.0090 	 Train images 1250 	 Round  11
Device 10 	 Train loss 2.8062 	 LR 0.0089 	 Train images 1250 	 Round  12
Device 10 	 Train loss 2.7027 	 LR 0.0088 	 Train images 1250 	 Round  13
Device 10 	 Train loss 2.6300 	 LR 0.0087 	 Train images 1250 	 Round  14
Device 10 	 Train loss 2.5375 	 LR 0.0086 	 Train images 1250 	 Round  15
Device 10 	 Train loss 2.4116 	 LR 0.0085 	 Train images 1250 	 Round  16
Device 10 	 Train loss 2.2667 	 LR 0.0084 	 Train images 1250 	 Round  17
Device 10 	 Train loss 2.2161 	 LR 0.0083 	 Train images 1250 	 Round  18
Device 10 	 Train loss 2.0976 	 LR 0.0083 	 Train images 1250 	 Round  19
Device 10 	 Train loss 2.1088 	 LR 0.0082 	 Train images 1250 	 Round  20
Device 10 	 Train loss 2.0185 	 LR 0.0081 	 Train images 1250 	 Round  21
Device 10 	 Train loss 1.9233 	 LR 0.0080 	 Train images 1250 	 Round  22
Device 10 	 Train loss 1.8250 	 LR 0.0079 	 Train images 1250 	 Round  23
Device 10 	 Train loss 1.7732 	 LR 0.0079 	 Train images 1250 	 Round  24
Device 10 	 Train loss 1.6565 	 LR 0.0078 	 Train images 1250 	 Round  25
Device 10 	 Train loss 1.5740 	 LR 0.0077 	 Train images 1250 	 Round  26
Device 10 	 Train loss 1.5228 	 LR 0.0076 	 Train images 1250 	 Round  27
Device 10 	 Train loss 1.4155 	 LR 0.0075 	 Train images 1250 	 Round  28
Device 10 	 Train loss 1.3484 	 LR 0.0075 	 Train images 1250 	 Round  29
Device 10 	 Train loss 1.1260 	 LR 0.0010 	 Train images 1250 	 Round  30
Defense dcs on Dataset CIFAR100.
Finished computations with time: 6:40:02.045311

Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR100', num_workers=2, batch_size=64, num_sen=64, defense='dcs', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=500.0, lambda_y=0.7, project=True, startpoint='none', mixup=False, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device 10 	 Train loss 4.9166 	 LR 0.0099 	 Train images 1250 	 Round   1
Device 10 	 Train loss 4.7654 	 LR 0.0098 	 Train images 1250 	 Round   2
Device 10 	 Train loss 4.5774 	 LR 0.0097 	 Train images 1250 	 Round   3
Device 10 	 Train loss 4.3844 	 LR 0.0096 	 Train images 1250 	 Round   4
Device 10 	 Train loss 4.1858 	 LR 0.0095 	 Train images 1250 	 Round   5
Device 10 	 Train loss 4.0459 	 LR 0.0094 	 Train images 1250 	 Round   6
Device 10 	 Train loss 3.8840 	 LR 0.0093 	 Train images 1250 	 Round   7
Device 10 	 Train loss 3.6941 	 LR 0.0092 	 Train images 1250 	 Round   8
Device 10 	 Train loss 3.6111 	 LR 0.0091 	 Train images 1250 	 Round   9
Device 10 	 Train loss 3.5345 	 LR 0.0090 	 Train images 1250 	 Round  10
Device 10 	 Train loss 3.4266 	 LR 0.0090 	 Train images 1250 	 Round  11
Device 10 	 Train loss 3.2691 	 LR 0.0089 	 Train images 1250 	 Round  12
Device 10 	 Train loss 3.2723 	 LR 0.0088 	 Train images 1250 	 Round  13
Device 10 	 Train loss 3.0869 	 LR 0.0087 	 Train images 1250 	 Round  14
Device 10 	 Train loss 2.9900 	 LR 0.0086 	 Train images 1250 	 Round  15
Device 10 	 Train loss 2.9059 	 LR 0.0085 	 Train images 1250 	 Round  16
Device 10 	 Train loss 2.8019 	 LR 0.0084 	 Train images 1250 	 Round  17
Device 10 	 Train loss 2.6098 	 LR 0.0083 	 Train images 1250 	 Round  18
Device 10 	 Train loss 2.4358 	 LR 0.0083 	 Train images 1250 	 Round  19
Device 10 	 Train loss 2.4185 	 LR 0.0082 	 Train images 1250 	 Round  20
Device 10 	 Train loss 2.2480 	 LR 0.0081 	 Train images 1250 	 Round  21
Device 10 	 Train loss 2.1497 	 LR 0.0080 	 Train images 1250 	 Round  22
Device 10 	 Train loss 1.9922 	 LR 0.0079 	 Train images 1250 	 Round  23
Device 10 	 Train loss 1.8945 	 LR 0.0079 	 Train images 1250 	 Round  24
Device 10 	 Train loss 1.7077 	 LR 0.0078 	 Train images 1250 	 Round  25
Device 10 	 Train loss 1.7095 	 LR 0.0077 	 Train images 1250 	 Round  26
Device 10 	 Train loss 1.6326 	 LR 0.0076 	 Train images 1250 	 Round  27
Device 10 	 Train loss 1.4606 	 LR 0.0075 	 Train images 1250 	 Round  28
Device 10 	 Train loss 1.2115 	 LR 0.0075 	 Train images 1250 	 Round  29
Device 10 	 Train loss 0.7098 	 LR 0.0010 	 Train images 1250 	 Round  30
Device 10 	 Train loss 0.5112 	 LR 0.0010 	 Train images 1250 	 Round  31
Device 10 	 Train loss 0.4799 	 LR 0.0010 	 Train images 1250 	 Round  32
Device 10 	 Train loss 0.4417 	 LR 0.0010 	 Train images 1250 	 Round  33
Device 10 	 Train loss 0.3957 	 LR 0.0010 	 Train images 1250 	 Round  34
Device 10 	 Train loss 0.3458 	 LR 0.0010 	 Train images 1250 	 Round  35
Device 10 	 Train loss 0.3605 	 LR 0.0009 	 Train images 1250 	 Round  36
Device 10 	 Train loss 0.3254 	 LR 0.0009 	 Train images 1250 	 Round  37
Device 10 	 Train loss 0.2915 	 LR 0.0009 	 Train images 1250 	 Round  38
Device 10 	 Train loss 0.3246 	 LR 0.0009 	 Train images 1250 	 Round  39
Device 10 	 Train loss 0.2657 	 LR 0.0009 	 Train images 1250 	 Round  40
Device 10 	 Train loss 0.2776 	 LR 0.0009 	 Train images 1250 	 Round  41
Device 10 	 Train loss 0.2478 	 LR 0.0009 	 Train images 1250 	 Round  42
Device 10 	 Train loss 0.2392 	 LR 0.0009 	 Train images 1250 	 Round  43
